"budget_id","cout_transport","cout_food","cout_equipement","cout_health","cout_organisation","total"
"41","2488.65","3429.23","1528.89","1116.98","1568.25","10132.00"
"42","5802.52","8323.52","3204.68","2618.96","2979.32","22929.00"
"43","2511.18","4121.96","1825.33","1008.57","1528.96","10996.00"
"44","2574.65","3210.06","1562.85","1020.81","449.63","8818.00"
"45","2715.87","3264.41","1490.28","932.69","1116.75","9520.00"
"46","2897.12","3623.06","1476.67","1243.30","1391.85","10632.00"
"47","2546.68","3117.74","1187.40","900.05","932.13","8684.00"
"48","3491.72","5265.05","1789.86","1645.83","2115.54","14308.00"
"49","5841.68","6825.55","4026.37","2231.88","3685.52","22611.00"
"50","2805.60","4407.38","1511.32","1066.39","2141.31","11932.00"
"51","2142.97","3181.84","1345.58","1029.68","1201.93","8902.00"
"52","2279.35","2539.47","1363.84","916.45","1084.89","8184.00"
"53","5100.72","6596.69","2568.02","1597.47","4050.10","19913.00"
"54","2309.64","3443.52","1535.14","926.79","1814.91","10030.00"
"55","4367.70","5234.84","2361.76","1815.10","1795.60","15575.00"
"56","1484.53","2068.21","1150.25","764.21","1238.80","6706.00"
"57","2025.30","2319.41","1093.36","702.44","1002.49","7143.00"
"58","3246.79","4942.35","2117.07","1543.63","2260.16","14110.00"
"59","2020.76","2231.73","993.81","689.25","1232.45","7168.00"
"60","2233.36","2807.34","1165.31","801.23","1833.76","8841.00"
"61","1730.03","2532.95","872.41","581.44","1209.17","6926.00"
"62","3627.63","4509.90","1552.12","1375.25","1569.10","12634.00"
"63","2049.01","2797.64","1465.34","954.53","1095.48","8362.00"
"64","2773.33","2889.12","1208.69","835.09","1857.77","9564.00"
"65","2417.14","3714.47","1803.80","1282.90","1518.69","10737.00"
"66","2682.76","3445.45","1289.45","1147.01","2048.33","10613.00"
"67","1684.08","2454.32","1063.07","828.35","1166.18","7196.00"
"68","2890.53","3506.50","1716.78","1137.54","751.65","10003.00"
"69","2883.86","3370.86","1510.47","1007.46","1076.35","9849.00"
"70","1671.72","2007.41","1059.53","519.37","740.97","5999.00"
"71","2825.13","3802.07","1386.84","1176.05","871.91","10062.00"
"72","5061.19","7267.79","3411.43","1749.06","2597.53","20087.00"
"73","4425.91","5839.06","2261.93","1418.41","2036.69","15982.00"
"74","3576.36","4525.18","1607.19","1106.63","1315.64","12131.00"
"75","5207.29","7230.77","2973.19","1867.80","2727.95","20007.00"
"76","4662.21","6584.88","3594.85","2074.44","3792.62","20709.00"
"77","5311.76","7114.76","3191.36","1822.24","1969.88","19410.00"
"78","3115.32","3866.90","2037.11","1197.28","1227.39","11444.00"
"79","2864.22","3720.48","1327.96","1161.77","1548.57","10623.00"
"80","6003.19","8258.95","3478.38","2618.71","2465.77","22825.00"
"81","3054.11","3725.29","1505.96","1324.43","2529.21","12139.00"
"82","2314.01","3280.71","1604.35","1081.90","1464.03","9745.00"
"83","3417.56","3612.59","1997.57","1247.98","1197.30","11473.00"
"84","2276.23","3058.32","1488.38","1130.79","1715.28","9669.00"
"85","3165.29","3894.02","1630.07","1032.48","1642.14","11364.00"
"86","3415.44","4212.57","2218.82","1214.73","2089.44","13151.00"
"87","2997.79","4109.81","2192.65","1189.23","1883.52","12373.00"
"88","4353.17","7058.41","3090.72","1819.24","2880.46","19202.00"
"89","2038.72","2301.47","1251.26","668.45","1371.10","7631.00"
"90","1999.01","2286.67","865.51","821.68","897.13","6870.00"
"91","2577.76","3831.49","1938.66","1144.48","1489.61","10982.00"
"92","2674.33","3030.38","1432.99","988.99","903.31","9030.00"
"93","3920.20","4259.33","2283.15","1304.39","1606.93","13374.00"
"94","4210.32","5079.79","2670.69","1455.16","3307.04","16723.00"
"95","3489.32","5196.87","2211.34","1438.07","2449.40","14785.00"
"96","2758.69","3725.32","1498.46","996.14","2545.39","11524.00"
"97","3983.66","5390.93","1987.04","1278.49","2611.88","15252.00"
"98","5397.33","7440.56","2892.64","2146.56","1824.91","19702.00"
"99","2542.10","3076.36","1277.16","801.68","2062.70","9760.00"
"100","1596.99","2141.17","781.74","525.76","718.34","5764.00"
"101","3666.05","4679.27","1658.34","1087.80","1875.54","12967.00"
"102","3123.33","4188.41","1968.21","1284.99","1197.06","11762.00"
"103","2932.46","4304.80","1765.40","1107.25","2431.09","12541.00"
"104","2563.52","2981.88","1364.87","1142.93","1578.80","9632.00"
"105","2088.05","2879.77","1419.78","678.04","1203.36","8269.00"
"106","3904.59","5589.89","2480.91","2066.57","3383.04","17425.00"
"107","4089.46","4985.98","2276.67","1454.53","1280.36","14087.00"
"108","1144.38","1782.76","908.06","609.18","640.62","5085.00"
"109","2435.57","3318.33","1563.33","953.78","2575.99","10847.00"
"110","1653.05","1980.26","958.77","470.47","714.45","5777.00"
"111","3006.04","4940.85","2398.45","1472.06","1749.60","13567.00"
"112","2678.54","3918.57","1654.47","967.26","2577.16","11796.00"
"113","1753.32","1833.17","1077.70","497.10","911.71","6073.00"
"114","4503.88","5318.33","2247.02","1956.74","3158.03","17184.00"
"115","1559.54","2540.20","938.38","785.18","906.70","6730.00"
"116","3775.80","4886.61","2186.19","1258.91","2126.49","14234.00"
"117","3016.52","4021.07","1862.89","1261.76","598.76","10761.00"
"118","2206.86","3325.51","1331.37","1021.51","1599.75","9485.00"
"119","2532.81","3640.60","1447.22","1018.66","2084.71","10724.00"
"120","2767.90","3541.78","1451.36","1063.69","2972.27","11797.00"
"121","2392.27","2578.29","1427.85","690.88","1363.71","8453.00"
"122","3032.50","4505.81","1559.07","1370.30","1891.32","12359.00"
"123","2816.24","3899.29","2200.84","1346.18","2303.45","12566.00"
"124","3014.50","3778.33","2006.27","1272.36","2012.54","12084.00"
"125","3292.29","3746.71","1361.46","1292.46","1527.08","11220.00"
"126","2190.67","3220.32","1539.13","976.92","1682.96","9610.00"
"127","2632.27","3973.17","1670.12","1164.74","2478.70","11919.00"
"128","3144.88","4085.65","1618.39","1294.89","695.19","10839.00"
"129","3016.30","3424.97","1803.36","1053.22","1785.15","11083.00"
"130","2245.48","3370.53","1328.69","1032.89","2014.41","9992.00"
"131","3424.93","4143.73","1597.54","1119.08","2422.72","12708.00"
"132","2306.40","3865.45","1801.06","1050.42","1187.67","10211.00"
"133","5109.33","8309.78","3133.97","2371.94","3305.98","22231.00"
"134","4913.55","7089.87","3929.48","1882.22","4469.88","22285.00"
"135","3263.46","4279.40","1719.84","1268.86","1042.44","11574.00"
"136","4644.79","5209.13","2340.88","1332.73","2872.47","16400.00"
"137","2416.19","3819.59","1478.04","1291.39","1814.79","10820.00"
"138","2570.64","3978.59","1961.00","891.21","1555.56","10957.00"
"139","1879.45","2595.45","1358.24","998.22","1694.64","8526.00"
"140","2495.36","3310.26","1633.88","1151.54","1832.96","10424.00"
"141","2216.40","3226.81","1444.32","1112.30","1671.17","9671.00"
"142","5585.92","7542.04","3728.03","2704.80","3373.21","22934.00"
"143","3007.21","3978.35","1460.58","1262.54","837.32","10546.00"
"144","4510.97","6090.58","2848.19","1691.33","4146.93","19288.00"
"145","3120.72","3545.68","1378.30","1042.19","2020.11","11107.00"
"146","6155.34","7709.27","3924.43","2330.96","2600.00","22720.00"
"147","2742.51","3433.48","1529.58","1074.63","2517.80","11298.00"
"148","3300.89","4181.39","1539.27","976.92","1722.53","11721.00"
"149","6080.99","7582.78","3285.08","1889.72","3839.43","22678.00"
"150","3790.67","4936.69","2519.61","1334.34","1557.69","14139.00"
"151","1931.61","3070.05","1145.83","939.11","1367.40","8454.00"
"152","1202.10","1853.93","721.12","581.44","773.41","5132.00"
"153","2342.11","3000.41","1527.79","903.59","1145.10","8919.00"
"154","3659.00","4045.01","1487.79","1218.05","1820.15","12230.00"
"155","3097.30","3717.06","1719.28","1327.50","1535.86","11397.00"
"156","4129.64","4900.37","2112.83","1229.63","2976.53","15349.00"
"157","3613.51","5231.12","2560.28","1706.08","1505.01","14616.00"
"158","3367.76","4593.26","1580.40","1229.96","2346.62","13118.00"
"159","2748.34","3345.87","1749.40","895.20","1329.19","10068.00"
"160","3062.36","4525.81","2070.38","1374.91","2426.54","13460.00"
"161","2431.90","3544.09","1323.30","1008.34","1483.37","9791.00"
"162","3227.56","3812.49","1848.86","1228.20","1053.89","11171.00"
"163","3401.82","4427.46","2264.18","1202.83","2106.71","13403.00"
"164","3212.47","4945.49","2407.19","1163.78","2491.07","14220.00"
"165","2992.49","4124.21","1910.94","1351.18","987.18","11366.00"
"166","2325.34","2570.34","1084.82","697.75","1716.75","8395.00"
"167","2077.86","2800.49","1254.73","692.34","1633.58","8459.00"
"168","4138.41","4904.79","2015.35","1623.77","2340.68","15023.00"
"169","4139.38","4527.13","1782.28","1593.57","2141.64","14184.00"
"170","1628.39","2113.21","1172.12","668.52","1155.76","6738.00"
"171","1699.40","2252.10","1125.77","608.33","642.40","6328.00"
"172","4810.89","7966.93","2751.71","1928.16","3983.31","21441.00"
"173","4010.19","4702.76","2008.64","1148.28","2354.13","14224.00"
"174","2418.55","3439.74","1392.85","909.67","1234.19","9395.00"
"175","3349.40","4118.64","1474.11","926.38","1511.47","11380.00"
"176","4738.48","6055.13","2967.49","2227.58","2858.32","18847.00"
"177","4186.85","5821.53","2340.39","1358.03","1816.20","15523.00"
"178","3339.64","4465.45","1864.34","1378.43","3740.14","14788.00"
"179","1856.16","2437.30","1241.49","942.43","1604.62","8082.00"
"180","2779.21","3792.72","1369.23","1160.40","1080.44","10182.00"
"181","5435.49","7095.46","2843.49","1651.04","2751.52","19777.00"
"182","4254.06","5196.35","1856.48","1592.03","1860.08","14759.00"
"183","3497.28","4818.34","2434.32","1103.44","1862.62","13716.00"
"184","3359.90","3601.63","2087.79","1227.55","1556.13","11833.00"
"185","3738.51","6039.11","2363.18","1354.74","3354.46","16850.00"
"186","2900.72","3625.75","1831.29","1129.70","1878.54","11366.00"
"187","2058.67","2560.17","906.99","757.02","1253.15","7536.00"
"188","2437.66","2781.12","1300.23","1011.79","1407.20","8938.00"
"189","4665.48","6417.78","3504.01","2074.72","2816.01","19478.00"
"190","2682.51","3515.44","1827.97","1134.06","1606.02","10766.00"
"191","2583.60","3525.05","1543.61","886.62","2476.12","11015.00"
"192","3778.43","4902.04","2778.86","1404.29","3176.38","16040.00"
"193","1764.34","2239.95","1034.30","600.40","263.01","5902.00"
"194","2288.33","2878.89","1091.60","729.08","667.10","7655.00"
"195","3030.08","4496.22","1717.51","1320.53","1795.66","12360.00"
"196","3066.02","4657.23","1692.67","1246.54","3201.54","13864.00"
"197","2976.35","3855.34","1800.35","888.99","1374.97","10896.00"
"198","2896.04","4092.43","1399.56","936.53","2306.44","11631.00"
"199","3748.21","4917.97","2147.17","1602.49","1602.16","14018.00"
"200","2970.79","4375.29","1691.73","1167.24","2097.95","12303.00"
"201","2146.27","2346.78","1147.37","770.99","1263.59","7675.00"
"202","1758.95","2827.00","1045.33","951.66","1385.06","7968.00"
"203","3473.13","3575.69","1880.65","1172.92","1493.61","11596.00"
"204","4367.77","6798.99","2582.69","1507.21","3302.34","18559.00"
"205","1723.26","2867.12","1184.86","847.03","1113.73","7736.00"
"206","5015.52","6427.67","2717.66","1938.31","1380.84","17480.00"
"207","4650.30","6421.62","2901.36","1709.29","2027.43","17710.00"
"208","1826.33","2417.38","1336.05","907.72","1131.52","7619.00"
"209","2882.76","3907.53","1957.28","912.22","1665.21","11325.00"
"210","1961.77","2392.93","938.07","640.35","869.88","6803.00"
"211","3671.53","4781.25","2138.68","1439.72","2275.82","14307.00"
"212","2732.86","3602.79","2023.66","1220.42","1898.27","11478.00"
"213","1826.53","2836.40","1254.68","751.43","961.96","7631.00"
"214","4012.57","5771.02","2465.04","1543.69","1510.68","15303.00"
"215","3174.72","3974.10","2101.51","1159.94","2514.73","12925.00"
"216","2974.48","3614.90","1578.18","882.02","1041.42","10091.00"
"217","4336.36","6336.54","2215.40","1606.11","2286.59","16781.00"
"218","3290.31","4172.31","1649.77","1380.54","2835.07","13328.00"
"219","1525.98","2157.89","1146.53","618.16","1101.44","6550.00"
"220","4092.02","5159.74","2230.08","1270.21","2502.95","15255.00"
"221","3165.83","3770.02","1482.64","1163.63","2321.88","11904.00"
"222","4254.24","5353.84","1822.23","1233.90","1730.79","14395.00"
"223","5232.63","5999.67","2993.35","1530.96","2794.39","18551.00"
"224","2443.93","3673.85","1356.40","1150.20","1094.62","9719.00"
"225","2994.82","3434.06","1529.50","1149.72","1399.90","10508.00"
"226","3381.84","4742.26","1762.39","1624.48","2529.03","14040.00"
"227","2450.66","3053.43","1294.40","707.02","1175.49","8681.00"
"228","3679.97","4874.66","1717.85","1320.11","2548.41","14141.00"
"229","6208.26","8256.82","2695.99","1945.50","2741.43","21848.00"
"230","3113.86","3704.24","1584.49","984.53","2762.88","12150.00"
"231","2689.06","3794.04","1683.89","1221.38","2196.63","11585.00"
"232","5144.22","7396.32","2648.73","2002.68","3244.05","20436.00"
"233","5119.92","5886.28","2277.11","1984.29","1962.40","17230.00"
"234","2277.13","2949.25","1281.21","1090.81","1917.60","9516.00"
"235","2639.43","4185.88","1464.32","1048.60","2280.77","11619.00"
"236","1890.24","2556.26","1263.58","805.46","978.46","7494.00"
"237","2991.38","3929.57","1821.30","1181.98","2494.77","12419.00"
"238","4260.86","4935.68","2578.23","1287.75","1648.48","14711.00"
"239","3908.80","5196.41","2769.52","1971.43","3173.84","17020.00"
"240","4138.43","6088.65","3141.61","2227.57","3091.74","18688.00"
"241","5782.74","6691.86","3692.34","2278.12","3266.94","21712.00"
"242","3675.99","4156.73","1879.81","1429.18","1658.29","12800.00"
"243","4425.21","5430.74","2137.18","2019.33","2843.54","16856.00"
"244","3818.39","4888.25","2538.11","1427.53","2822.72","15495.00"
"245","3595.97","4558.34","2349.02","1173.19","2117.48","13794.00"
"246","2249.54","2735.38","1261.25","661.49","818.34","7726.00"
"247","2880.11","4031.33","1463.81","1287.60","2110.15","11773.00"
"248","2629.55","3765.70","1880.07","1109.09","1957.59","11342.00"
"249","3606.62","4829.92","2294.49","1304.56","2717.41","14753.00"
"250","4141.16","6200.02","2388.01","1486.56","3040.25","17256.00"
"251","4303.32","5261.89","1932.86","1753.89","2410.04","15662.00"
"252","3491.24","5250.43","2521.31","1533.18","1618.84","14415.00"
"253","4133.91","4678.19","2140.97","1233.51","2603.42","14790.00"
"254","2144.17","2783.65","1318.79","804.20","1467.19","8518.00"
"255","2886.34","3274.50","1908.09","1145.79","1618.28","10833.00"
"256","3422.47","4314.99","2297.27","1350.26","2770.01","14155.00"
"257","3510.15","4655.18","2032.78","1745.47","2723.42","14667.00"
"258","2614.71","3914.22","1871.66","1166.52","1244.89","10812.00"
"259","3197.75","4766.19","2074.30","1558.29","2025.47","13622.00"
"260","2901.55","4828.58","1615.53","1433.76","2405.58","13185.00"
"261","3585.85","3966.86","2083.31","1143.75","1553.23","12333.00"
"262","5913.63","6971.28","3088.90","2497.53","3045.66","21517.00"
"263","4971.01","6628.82","3024.75","1902.93","4927.49","21455.00"
"264","1576.25","2384.55","972.80","673.14","1490.26","7097.00"
"265","1773.90","2566.30","907.82","791.68","964.30","7004.00"
"266","3135.81","3706.79","1399.69","1116.49","2274.22","11633.00"
"267","3223.79","5002.85","2065.68","1315.59","3006.09","14614.00"
"268","4085.07","5584.11","3098.47","1912.28","3274.07","17954.00"
"269","3689.78","5163.87","2736.70","1398.97","2445.68","15435.00"
"270","1705.79","1947.72","920.58","773.45","1141.46","6489.00"
"271","4140.38","5108.46","2117.06","1323.94","3143.16","15833.00"
"272","3305.23","4283.70","1716.28","1063.83","1024.96","11394.00"
"273","3104.48","4170.07","1902.03","1485.31","2996.11","13658.00"
"274","3349.07","4459.40","1907.42","1267.35","752.76","11736.00"
"275","2277.72","3278.27","1168.40","950.91","1908.70","9584.00"
"276","5049.07","6137.86","2256.98","1454.52","2730.57","17629.00"
"277","2252.36","3079.54","1708.83","1063.25","2056.02","10160.00"
"278","4581.94","4740.65","2694.85","1516.50","2153.06","15687.00"
"279","4174.12","6233.88","2894.81","1916.52","1773.67","16993.00"
"280","3945.63","5270.66","2068.15","1864.93","3587.63","16737.00"
"281","1227.43","2010.30","950.91","553.32","791.04","5533.00"
"282","2792.09","3766.31","1540.30","1191.66","1509.64","10800.00"
"283","4342.47","6957.22","3161.56","1858.07","2837.68","19157.00"
"284","2269.74","2625.32","1010.78","867.67","809.49","7583.00"
"285","3991.70","4320.76","1674.71","1560.34","2318.49","13866.00"
"286","4973.35","8023.81","3268.92","2468.02","3322.90","22057.00"
"287","2441.64","2879.27","1375.96","866.49","1578.64","9142.00"
"288","2724.52","3486.54","1592.74","882.99","1102.21","9789.00"
"289","2648.94","2988.38","1339.85","990.47","1418.36","9386.00"
"290","1961.00","2982.06","1073.66","848.85","1319.43","8185.00"
"291","2790.23","3513.79","1430.30","834.00","1047.68","9616.00"
"292","2742.53","3190.61","1807.18","1226.84","1481.84","10449.00"
"293","4101.05","5459.18","2833.28","1570.25","2091.24","16055.00"
"294","6240.31","7762.35","3941.74","2284.92","2607.68","22837.00"
"295","1561.21","2133.82","1091.87","596.59","1303.51","6687.00"
"296","3053.78","4067.70","1793.80","1191.71","1644.01","11751.00"
"297","3530.58","5350.72","2512.99","1633.23","1183.48","14211.00"
"298","4017.03","5337.75","2642.33","1455.87","2964.02","16417.00"
"299","3883.97","6074.08","2805.47","1564.94","2984.54","17313.00"
"300","3855.70","5309.56","2524.29","1329.67","1245.78","14265.00"
"301","2747.69","3586.24","1305.23","846.32","1622.52","10108.00"
"302","1773.71","2641.07","1111.25","685.73","1235.24","7447.00"
"303","3387.56","4649.66","1879.68","1158.58","2976.52","14052.00"
"304","3924.58","5192.45","2486.26","1635.80","880.91","14120.00"
"305","4534.21","7270.99","2515.83","1683.85","3220.12","19225.00"
"306","4430.99","5122.09","2562.73","1251.34","1526.85","14894.00"
"307","4353.20","4911.55","2142.59","1653.03","3249.63","16310.00"
"308","2324.00","3187.07","1671.92","855.90","1377.11","9416.00"
"309","6526.60","7964.82","2907.52","2422.08","2428.98","22250.00"
"310","2841.70","4197.74","1586.80","1029.81","2014.95","11671.00"
"311","3893.68","4732.14","1734.44","1253.30","2229.44","13843.00"
"312","2034.38","2454.33","1165.57","902.85","983.87","7541.00"
"313","6212.10","8177.68","3746.17","2166.91","2248.14","22551.00"
"314","3869.89","4164.51","2097.68","1175.89","2120.03","13428.00"
"315","2149.75","2914.22","1163.20","779.50","1350.33","8357.00"
"316","4292.97","5690.01","1869.77","1310.12","1999.13","15162.00"
"317","2429.22","2616.20","1498.57","845.12","1074.89","8464.00"
"318","1341.51","2157.70","795.16","708.81","970.82","5974.00"
"319","3011.92","3330.36","1288.49","823.61","1661.62","10116.00"
"320","4193.31","6074.70","2923.62","2174.34","2989.03","18355.00"
"321","3999.53","5341.77","2500.35","1688.71","1881.64","15412.00"
"322","4685.92","5891.04","2264.49","1904.14","2967.41","17713.00"
"323","3847.81","5470.11","2714.08","1344.15","2406.85","15783.00"
"324","3833.71","3916.63","1616.30","1194.37","2392.99","12954.00"
"325","1666.79","2034.65","1104.53","701.43","888.60","6396.00"
"326","2490.38","2921.83","1665.13","939.58","1720.08","9737.00"
"327","2125.05","2800.82","1118.41","717.66","694.06","7456.00"
"328","1960.47","2129.88","1014.18","779.51","1009.96","6894.00"
"329","3530.38","4591.65","2142.88","1661.52","2955.57","14882.00"
"330","3607.48","5230.03","2437.61","1647.88","3435.00","16358.00"
"331","2908.50","3905.17","1603.77","1356.71","2473.85","12248.00"
"332","3148.48","3888.87","1383.34","1005.61","1646.70","11073.00"
"333","1575.07","2336.44","866.85","668.25","882.39","6329.00"
"334","2932.57","3848.04","1510.37","875.01","1424.01","10590.00"
"335","1865.79","2329.62","1086.62","821.47","1268.50","7372.00"
"336","1678.27","2209.10","1013.73","769.94","903.96","6575.00"
"337","3721.96","4409.81","2305.33","1351.79","2833.11","14622.00"
"338","4024.78","4554.04","1853.37","1453.89","2216.92","14103.00"
"339","3619.92","5550.89","1921.30","1504.75","2573.14","15170.00"
"340","2878.33","3434.04","1413.15","1114.32","2385.16","11225.00"
"341","2125.55","2326.61","1238.92","737.06","736.86","7165.00"
"342","3467.43","5019.29","2391.43","1465.48","2586.37","14930.00"
"343","1938.98","2927.69","979.25","649.81","1517.27","8013.00"
"344","2488.89","3105.13","1495.59","1072.84","1562.55","9725.00"
"345","3696.48","4884.17","1692.69","1503.78","1122.88","12900.00"
"346","4308.61","5000.04","2516.14","1773.88","1365.33","14964.00"
"347","2166.96","2612.95","1011.61","820.62","630.86","7243.00"
"348","5510.96","5890.13","2628.60","1507.26","3251.05","18788.00"
"349","2600.22","3683.90","1667.51","944.69","1569.68","10466.00"
"350","4768.40","6751.09","2956.69","1809.83","1947.99","18234.00"
"351","2656.21","3105.25","1322.52","1047.12","1775.90","9907.00"
"352","4957.47","6484.16","2999.84","1936.70","4532.83","20911.00"
"353","2476.11","3663.95","1690.35","1060.85","1801.74","10693.00"
"354","3456.51","4504.64","1707.21","1169.28","1578.36","12416.00"
"355","3288.73","4604.38","2147.66","1399.18","1191.05","12631.00"
"356","2399.29","3268.79","1693.71","815.92","1897.29","10075.00"
"357","4019.35","4670.56","2336.41","1384.86","1994.82","14406.00"
"358","4693.83","5321.02","2291.24","2024.96","3329.95","17661.00"
"359","2530.04","3553.90","1611.85","884.07","811.14","9391.00"
"360","4265.21","5267.56","2260.08","1320.86","1555.29","14669.00"
"361","5230.69","7649.77","3607.25","1772.51","3746.78","22007.00"
"362","1396.07","2048.34","803.81","585.81","977.97","5812.00"
"363","5347.26","7766.56","3867.85","2295.79","2593.54","21871.00"
"364","3781.84","5128.91","1964.12","1603.50","2097.63","14576.00"
"365","3627.92","5312.37","2522.69","1258.08","2192.94","14914.00"
"366","2044.61","2244.43","1050.36","642.39","1355.21","7337.00"
"367","4147.07","6037.06","2821.91","1531.74","3920.22","18458.00"
"368","3568.34","4179.43","1579.22","1025.19","1815.82","12168.00"
"369","3339.28","5318.13","1869.83","1149.25","2650.51","14327.00"
"370","3462.65","4175.99","2013.97","1407.16","2840.23","13900.00"
"371","3553.42","4254.92","1959.95","1060.14","1397.57","12226.00"
"372","2284.92","2661.90","1115.99","791.57","1268.62","8123.00"
"373","3669.01","4106.19","2017.90","1277.23","1831.67","12902.00"
"374","4492.13","6736.47","3080.77","2165.39","2132.24","18607.00"
"375","3705.38","4575.82","2321.62","1706.21","1921.97","14231.00"
"376","5874.32","8249.62","3102.58","2512.05","3244.43","22983.00"
"377","4359.17","4657.02","2288.64","1372.50","2633.67","15311.00"
"378","5171.54","7421.30","2394.48","1876.03","2796.65","19660.00"
"379","3332.26","3703.68","1748.39","1015.90","2472.77","12273.00"
"380","2953.12","3207.71","1551.98","898.47","1942.72","10554.00"
"381","2761.81","3918.55","1552.56","1391.00","2622.08","12246.00"
"382","2974.85","3274.83","1282.68","901.32","1775.32","10209.00"
"383","4963.88","5568.80","2720.93","1991.99","1810.40","17056.00"
"384","5279.65","6600.43","3032.39","1883.80","1807.73","18604.00"
"385","4558.21","6736.06","3204.14","2297.62","3158.97","19955.00"
"386","2924.85","3495.54","1617.54","1049.74","1769.33","10857.00"
"387","2167.98","3077.48","1262.31","781.76","1261.47","8551.00"
"388","4318.32","5556.60","2311.08","1789.70","4313.30","18289.00"
"389","2481.54","2997.95","1335.53","991.56","1028.42","8835.00"
"390","2767.95","4026.10","1740.50","1040.75","2937.70","12513.00"
"391","4127.84","4322.32","2316.54","1482.65","2051.65","14301.00"
"392","3187.76","4699.67","1985.54","1204.85","2686.18","13764.00"
"393","1558.52","2012.14","860.50","673.16","809.68","5914.00"
"394","4096.09","5125.26","2305.31","1461.50","1235.84","14224.00"
"395","3092.99","4534.40","1991.16","1258.62","2833.83","13711.00"
"396","4255.95","5512.51","2161.96","1824.99","3550.59","17306.00"
"397","2869.45","3602.49","1157.77","829.89","1175.40","9635.00"
"398","2190.58","3400.79","1295.60","978.06","1622.97","9488.00"
"399","2279.60","2733.40","952.08","652.23","1082.69","7700.00"
"400","3847.51","6192.88","2065.98","1963.51","2640.12","16710.00"
"401","3434.43","4237.94","1854.19","1323.75","1015.69","11866.00"
"402","2384.57","3406.44","1454.54","1037.78","1930.67","10214.00"
"403","3874.26","5570.81","2261.86","1399.87","2541.20","15648.00"
"404","3854.71","4264.19","2074.34","1573.95","1622.81","13390.00"
"405","4202.46","6018.08","3119.13","1661.53","3516.80","18518.00"
"406","4442.95","5511.95","2252.96","1357.71","3065.43","16631.00"
"407","3343.60","4732.35","2404.24","1687.30","2558.51","14726.00"
"408","2605.82","3575.14","1745.52","1257.22","1961.30","11145.00"
"409","3023.11","4487.05","1932.94","1449.46","2647.44","13540.00"
"410","4779.12","5403.79","2929.86","1666.78","1792.45","16572.00"
"411","2295.49","3339.60","1382.20","1022.83","1004.88","9045.00"
"412","2494.27","3379.58","1406.54","956.50","2275.11","10512.00"
"413","5494.49","7401.90","3350.83","2119.60","3768.18","22135.00"
"414","3130.17","4060.72","2070.21","1520.40","2512.50","13294.00"
"415","1769.36","2141.95","788.41","731.31","782.97","6214.00"
