"time_id","country_id","activity_id","unite_id","nb_activities","budget_activite","durees_activite","nb_participants"
"433","1","3587","7","1","8061.00","4","83"
"441","1","4276","7","1","10737.00","4","70"
"442","1","1425","7","1","5894.00","5","56"
"446","1","1291","7","1","10302.00","4","80"
"446","1","2511","7","1","11671.00","2","49"
"464","1","3389","7","1","12070.00","4","78"
"487","1","4491","7","1","17497.00","9","117"
"491","1","2014","7","1","14992.00","8","102"
"499","1","3662","7","1","21578.00","8","134"
"500","1","3330","7","1","14724.00","5","120"
"502","1","5525","7","1","15212.00","5","137"
"504","1","5282","7","1","20425.00","5","147"
"506","1","1045","7","1","20181.00","8","124"
"506","1","1997","7","1","20419.00","9","90"
"542","1","3124","7","1","15306.00","6","90"
"546","1","27","7","1","17083.00","7","91"
"546","1","1037","7","1","16596.00","7","155"
"555","1","5547","7","1","14494.00","7","130"
"569","1","3125","7","1","19006.00","5","108"
"570","1","2041","7","1","14420.00","5","83"
"576","1","626","7","1","14440.00","5","63"
"576","1","1199","7","1","10338.00","4","85"
"584","1","968","7","1","14860.00","4","67"
"594","1","2821","7","1","15921.00","5","73"
"607","1","2003","7","1","15779.00","5","120"
"608","1","4798","7","1","9319.00","6","90"
"613","1","3550","7","1","9722.00","3","108"
"614","1","3608","7","1","15949.00","5","86"
"618","1","5411","7","1","11580.00","3","119"
"619","1","5158","7","1","17182.00","4","109"
"620","1","5279","7","1","15642.00","6","114"
"620","1","5982","7","1","12215.00","6","60"
"621","1","242","7","1","12800.00","6","60"
"622","1","894","7","1","15921.00","6","87"
"629","1","3580","7","1","13203.00","6","89"
"630","1","4139","7","1","13648.00","5","82"
"633","1","734","7","1","9532.00","4","112"
"641","1","2091","7","1","13588.00","4","97"
"642","1","1758","7","1","14294.00","4","61"
"647","1","4995","7","1","16050.00","3","107"
"664","1","4130","7","1","10315.00","3","58"
"665","1","3705","7","1","12693.00","4","65"
"669","1","4922","7","1","13641.00","5","93"
"673","1","5142","7","1","12079.00","3","72"
"684","1","2541","7","1","9785.00","4","88"
"686","1","5675","7","1","11526.00","6","74"
"687","1","1318","7","1","9795.00","5","96"
"687","1","2893","7","1","9021.00","4","99"
"688","1","4746","7","1","14631.00","4","52"
"693","1","1867","7","1","11934.00","5","54"
"696","1","544","7","1","12240.00","6","71"
"705","1","5154","7","1","11935.00","4","99"
"728","1","4683","7","1","9501.00","4","76"
"731","1","4755","7","1","10529.00","5","54"
"732","1","5545","7","1","9463.00","3","76"
"734","1","304","7","1","14120.00","3","71"
"734","1","1551","7","1","9433.00","3","54"
"734","1","2716","7","1","14420.00","3","63"
"735","1","645","7","1","13269.00","4","76"
"741","1","5858","7","1","10887.00","3","90"
"761","1","1694","7","1","7380.00","3","46"
"761","1","2775","7","1","10493.00","3","79"
"763","1","5345","7","1","10451.00","5","74"
"763","1","5926","7","1","10417.00","2","51"
"776","1","859","7","1","7525.00","2","60"
"782","1","4598","7","1","8461.00","3","55"
"791","1","621","7","1","12230.00","3","48"
"793","1","4259","7","1","11182.00","4","55"
"804","1","4980","7","1","9164.00","4","70"
"805","1","2830","7","1","10927.00","2","90"
"813","1","4528","7","1","7857.00","4","65"
"815","1","5302","7","1","12279.00","3","51"
"820","1","3197","7","1","10046.00","4","47"
"826","1","3679","7","1","6159.00","3","52"
"833","1","5638","7","1","22419.00","7","120"
"841","1","5843","7","1","16336.00","5","141"
"854","1","4508","7","1","14280.00","5","125"
"865","1","1607","7","1","21480.00","6","145"
"869","1","367","7","1","18458.00","5","147"
"869","1","2443","7","1","20898.00","8","96"
"880","1","851","7","1","15872.00","7","124"
"881","1","4758","7","1","20129.00","9","147"
"892","1","936","7","1","16600.00","6","144"
"897","1","4674","7","1","15566.00","9","148"
"899","1","4457","7","1","18791.00","7","152"
"900","1","5617","7","1","14529.00","5","149"
"907","1","4762","7","1","16482.00","9","106"
"920","1","4035","7","1","11874.00","4","66"
"920","1","5866","7","1","12943.00","3","76"
"921","1","1121","7","1","14024.00","3","87"
"929","1","2833","7","1","11452.00","6","109"
"939","1","3440","7","1","10537.00","4","115"
"943","1","1186","7","1","10071.00","5","64"
"975","1","1336","7","1","13768.00","6","106"
"980","1","1224","7","1","16473.00","3","115"
"983","1","960","7","1","14777.00","4","110"
"985","1","215","7","1","12925.00","4","114"
"987","1","2638","7","1","10885.00","4","78"
"995","1","2916","7","1","13127.00","6","97"
"995","1","4020","7","1","15158.00","6","84"
"995","1","4437","7","1","14872.00","5","78"
"1002","1","2980","7","1","11681.00","5","120"
"1003","1","4539","7","1","11022.00","4","70"
"1008","1","2880","7","1","13456.00","6","56"
"1017","1","1939","7","1","12875.00","4","96"
"1018","1","5189","7","1","11594.00","4","54"
"1019","1","2072","7","1","10095.00","3","81"
"1019","1","3966","7","1","8559.00","5","94"
"1027","1","1048","7","1","12177.00","4","58"
"10","2","795","7","1","10346.00","4","56"
"17","2","1810","7","1","13736.00","6","75"
"18","2","332","7","1","11073.00","3","84"
"21","2","4051","7","1","9968.00","5","82"
"23","2","5002","7","1","9919.00","4","96"
"31","2","5726","7","1","13479.00","5","82"
"45","2","425","7","1","10382.00","5","57"
"49","2","1403","7","1","8782.00","5","83"
"49","2","5504","7","1","11234.00","5","59"
"55","2","680","7","1","11424.00","3","67"
"55","2","2079","7","1","11304.00","6","85"
"56","2","3425","7","1","9006.00","3","62"
"57","2","2739","7","1","14721.00","5","94"
"61","2","925","7","1","8993.00","5","77"
"62","2","1778","7","1","11700.00","5","63"
"74","2","5551","7","1","12165.00","5","54"
"100","2","4839","7","1","7083.00","4","83"
"103","2","1555","7","1","7243.00","4","71"
"103","2","5773","7","1","9635.00","5","45"
"104","2","1173","7","1","7431.00","2","51"
"104","2","5217","7","1","8551.00","4","77"
"107","2","964","7","1","7093.00","4","59"
"122","2","1881","7","1","6380.00","4","82"
"123","2","4808","7","1","10299.00","3","77"
"136","2","1099","7","1","7472.00","2","69"
"136","2","2016","7","1","11450.00","2","45"
"150","2","2296","7","1","14571.00","9","113"
"155","2","5294","7","1","19276.00","9","151"
"164","2","5601","7","1","20427.00","9","113"
"165","2","2215","7","1","19122.00","6","108"
"167","2","2651","7","1","20093.00","6","123"
"168","2","5437","7","1","18917.00","6","139"
"173","2","1134","7","1","19839.00","7","148"
"208","2","2857","7","1","15194.00","8","137"
"208","2","4251","7","1","19577.00","8","128"
"211","2","4328","7","1","17680.00","6","154"
"213","2","2595","7","1","17926.00","5","125"
"219","2","4029","7","1","22619.00","6","125"
"222","2","5522","7","1","20879.00","6","156"
"223","2","5530","7","1","19901.00","7","158"
"225","2","5113","7","1","18643.00","6","107"
"229","2","1454","7","1","14947.00","5","93"
"236","2","261","7","1","12333.00","5","85"
"238","2","1606","7","1","11276.00","5","75"
"246","2","522","7","1","11036.00","3","78"
"251","2","1949","7","1","12303.00","5","69"
"253","2","1387","7","1","14629.00","4","94"
"257","2","1090","7","1","16700.00","5","93"
"260","2","95","7","1","14785.00","4","94"
"263","2","221","7","1","11904.00","3","82"
"269","2","101","7","1","12967.00","6","64"
"278","2","1838","7","1","10505.00","4","100"
"280","2","5033","7","1","15085.00","3","95"
"285","2","1742","7","1","9927.00","6","97"
"295","2","4633","7","1","14036.00","5","68"
"299","2","2636","7","1","11113.00","5","97"
"314","2","5133","7","1","13292.00","6","79"
"316","2","1443","7","1","10961.00","4","71"
"316","2","5775","7","1","9273.00","5","112"
"323","2","5987","7","1","9436.00","4","79"
"329","2","1980","7","1","11876.00","5","84"
"330","2","1967","7","1","11680.00","4","62"
"335","2","531","7","1","11179.00","3","74"
"343","2","2777","7","1","11564.00","6","92"
"346","2","933","7","1","10623.00","5","81"
"356","2","1051","7","1","14949.00","4","51"
"361","2","3136","7","1","12900.00","3","88"
"371","2","4643","7","1","10407.00","3","88"
"373","2","5107","7","1","11700.00","5","89"
"375","2","612","7","1","10584.00","4","63"
"381","2","255","7","1","10833.00","6","60"
"384","2","1843","7","1","10129.00","3","95"
"384","2","2619","7","1","13326.00","3","68"
"385","2","1560","7","1","13467.00","5","88"
"386","2","4101","7","1","13173.00","3","95"
"392","2","2944","7","1","12085.00","6","75"
"404","2","3411","7","1","9438.00","2","46"
"410","2","1760","7","1","8757.00","5","65"
"411","2","63","7","1","8362.00","4","80"
"415","2","618","7","1","10990.00","2","52"
"429","2","2736","7","1","12163.00","5","47"
"429","2","5117","7","1","7556.00","3","55"
"429","2","5474","7","1","9776.00","4","84"
"441","2","3997","7","1","10582.00","2","45"
"441","2","4031","7","1","10545.00","3","60"
"449","2","1039","7","1","6607.00","4","61"
"458","2","2164","7","1","12268.00","5","84"
"458","2","5206","7","1","12621.00","3","68"
"467","2","5812","7","1","8604.00","3","68"
"469","2","2156","7","1","9416.00","4","47"
"474","2","2327","7","1","12375.00","4","58"
"474","2","4062","7","1","12628.00","5","84"
"482","2","2918","7","1","6476.00","5","51"
"487","2","2314","7","1","21986.00","5","115"
"500","2","5531","7","1","17956.00","7","102"
"508","2","4876","7","1","19997.00","5","144"
"512","2","3894","7","1","16450.00","7","92"
"512","2","4757","7","1","18930.00","6","113"
"513","2","2715","7","1","21617.00","6","100"
"514","2","4375","7","1","16511.00","7","120"
"515","2","2798","7","1","15837.00","7","124"
"520","2","2094","7","1","20144.00","7","159"
"531","2","5432","7","1","21166.00","6","113"
"535","2","2662","7","1","18940.00","9","117"
"536","2","1340","7","1","17501.00","8","120"
"541","2","3621","7","1","17047.00","5","144"
"553","2","3887","7","1","19369.00","8","105"
"554","2","3164","7","1","22962.00","9","126"
"559","2","5176","7","1","22523.00","7","111"
"560","2","3014","7","1","17178.00","5","99"
"567","2","2311","7","1","20882.00","6","135"
"576","2","1737","7","1","10281.00","4","60"
"594","2","5032","7","1","15413.00","4","80"
"607","2","2820","7","1","16933.00","5","75"
"611","2","4194","7","1","12204.00","6","120"
"612","2","4597","7","1","12599.00","5","66"
"613","2","104","7","1","9632.00","6","77"
"619","2","3885","7","1","14119.00","6","107"
"620","2","5349","7","1","14975.00","5","90"
"625","2","819","7","1","13321.00","6","118"
"627","2","4120","7","1","14110.00","4","76"
"632","2","272","7","1","11394.00","3","68"
"637","2","3044","7","1","9382.00","6","94"
"640","2","5705","7","1","17197.00","5","67"
"640","2","5875","7","1","10851.00","5","80"
"651","2","588","7","1","16412.00","6","95"
"653","2","1257","7","1","11894.00","6","105"
"656","2","2023","7","1","11554.00","6","61"
"657","2","1998","7","1","8330.00","6","71"
"661","2","2439","7","1","14422.00","5","82"
"662","2","1279","7","1","13818.00","4","63"
"662","2","1953","7","1","8122.00","5","62"
"664","2","1293","7","1","9469.00","3","76"
"666","2","3546","7","1","8684.00","6","54"
"668","2","3483","7","1","14262.00","5","52"
"681","2","4044","7","1","8516.00","5","50"
"685","2","2389","7","1","8151.00","5","57"
"714","2","4754","7","1","13822.00","4","93"
"718","2","1564","7","1","11785.00","6","59"
"722","2","1975","7","1","9361.00","6","52"
"737","2","3218","7","1","13249.00","4","100"
"739","2","5023","7","1","9344.00","4","66"
"742","2","802","7","1","8002.00","2","84"
"750","2","14","7","1","9734.00","3","48"
"751","2","3300","7","1","9423.00","4","50"
"752","2","1381","7","1","10659.00","2","87"
"764","2","5367","7","1","7445.00","4","59"
"776","2","4494","7","1","8010.00","4","48"
"787","2","821","7","1","8040.00","5","50"
"788","2","5311","7","1","7293.00","3","50"
"793","2","4063","7","1","7984.00","3","63"
"805","2","4661","7","1","9990.00","5","78"
"810","2","4039","7","1","11194.00","2","70"
"819","2","4722","7","1","11385.00","5","70"
"820","2","5579","7","1","6724.00","2","57"
"823","2","3539","7","1","12494.00","2","58"
"825","2","2745","7","1","5996.00","3","57"
"826","2","4880","7","1","6904.00","2","88"
"830","2","2110","7","1","19788.00","7","107"
"831","2","1628","7","1","16122.00","7","152"
"832","2","1780","7","1","18332.00","6","126"
"832","2","3909","7","1","18455.00","7","150"
"840","2","1263","7","1","21240.00","9","155"
"840","2","5234","7","1","18833.00","6","115"
"845","2","5362","7","1","20671.00","6","128"
"859","2","2317","7","1","16893.00","9","105"
"860","2","4671","7","1","19504.00","9","100"
"867","2","3163","7","1","21156.00","8","116"
"868","2","5182","7","1","21582.00","8","107"
"872","2","891","7","1","15515.00","7","136"
"901","2","4212","7","1","17087.00","7","98"
"904","2","3952","7","1","14225.00","5","119"
"910","2","4708","7","1","16098.00","5","125"
"924","2","574","7","1","12735.00","5","96"
"924","2","4096","7","1","14269.00","3","103"
"925","2","1369","7","1","16593.00","4","72"
"930","2","4670","7","1","15477.00","5","116"
"931","2","3748","7","1","10697.00","5","76"
"938","2","5401","7","1","10677.00","3","63"
"943","2","2320","7","1","10990.00","4","95"
"945","2","4761","7","1","11999.00","3","63"
"946","2","2093","7","1","12125.00","5","85"
"950","2","1103","7","1","10774.00","5","108"
"953","2","1268","7","1","16994.00","5","62"
"954","2","578","7","1","16212.00","3","66"
"957","2","1865","7","1","13536.00","5","111"
"961","2","2004","7","1","17141.00","4","110"
"964","2","1128","7","1","10191.00","5","108"
"965","2","5510","7","1","11249.00","5","64"
"970","2","4329","7","1","11820.00","3","100"
"994","2","4710","7","1","14583.00","4","104"
"996","2","4476","7","1","14952.00","4","92"
"1003","2","5722","7","1","11260.00","6","110"
"1004","2","5597","7","1","12685.00","5","64"
"1024","2","3227","7","1","14002.00","3","66"
"1026","2","4778","7","1","11458.00","3","53"
"1030","2","4835","7","1","14933.00","6","59"
"14","3","3531","7","1","10437.00","3","68"
"19","3","2703","7","1","14606.00","6","61"
"28","3","2509","7","1","11218.00","3","97"
"31","3","1631","7","1","14752.00","4","87"
"39","3","153","7","1","8919.00","5","97"
"43","3","2586","7","1","8266.00","3","92"
"47","3","2188","7","1","14088.00","4","97"
"60","3","390","7","1","12513.00","6","59"
"66","3","5440","7","1","7057.00","4","86"
"67","3","2010","7","1","12616.00","2","65"
"80","3","4919","7","1","6468.00","5","87"
"85","3","1938","7","1","8120.00","4","77"
"104","3","902","7","1","11291.00","4","74"
"105","3","2321","7","1","9587.00","5","68"
"107","3","676","7","1","8891.00","3","48"
"115","3","5006","7","1","6931.00","3","54"
"118","3","5861","7","1","10335.00","2","78"
"126","3","1813","7","1","6658.00","4","50"
"126","3","2272","7","1","6709.00","3","57"
"135","3","1098","7","1","7196.00","4","59"
"136","3","3466","7","1","9167.00","4","73"
"137","3","3226","7","1","11100.00","3","90"
"140","3","2411","7","1","6006.00","5","58"
"144","3","597","7","1","8289.00","2","62"
"147","3","914","7","1","10011.00","3","84"
"155","3","2095","7","1","22699.00","8","140"
"160","3","2393","7","1","14503.00","7","112"
"160","3","3972","7","1","22743.00","8","156"
"160","3","4399","7","1","17877.00","9","133"
"164","3","1875","7","1","15383.00","5","108"
"166","3","3317","7","1","22575.00","6","147"
"172","3","2251","7","1","19015.00","7","97"
"179","3","2996","7","1","20156.00","8","102"
"183","3","2426","7","1","18120.00","9","109"
"192","3","3385","7","1","15324.00","7","112"
"193","3","3146","7","1","16048.00","6","126"
"194","3","3651","7","1","13829.00","6","142"
"197","3","2111","7","1","19711.00","6","124"
"201","3","3130","7","1","20843.00","6","124"
"210","3","5844","7","1","16367.00","7","93"
"213","3","2492","7","1","19571.00","6","99"
"218","3","2228","7","1","22282.00","6","125"
"224","3","2613","7","1","18081.00","7","153"
"232","3","2057","7","1","21210.00","9","123"
"236","3","2998","7","1","9649.00","4","108"
"236","3","4185","7","1","9661.00","6","97"
"243","3","723","7","1","14710.00","6","84"
"251","3","4765","7","1","13843.00","4","79"
"252","3","1889","7","1","9363.00","6","89"
"257","3","2597","7","1","17212.00","5","119"
"263","3","1044","7","1","11096.00","3","113"
"263","3","2670","7","1","10069.00","5","67"
"276","3","791","7","1","10663.00","3","106"
"276","3","3592","7","1","10465.00","6","103"
"276","3","5534","7","1","9894.00","5","72"
"278","3","282","7","1","10800.00","5","97"
"286","3","5563","7","1","15834.00","6","86"
"290","3","5973","7","1","9515.00","5","87"
"291","3","4400","7","1","13726.00","3","96"
"305","3","5486","7","1","12185.00","3","82"
"308","3","2256","7","1","13927.00","4","75"
"313","3","494","7","1","13380.00","4","65"
"321","3","5011","7","1","14046.00","5","94"
"322","3","4019","7","1","8721.00","6","70"
"329","3","4337","7","1","14333.00","4","74"
"334","3","849","7","1","10657.00","3","61"
"343","3","2354","7","1","8584.00","4","76"
"343","3","2565","7","1","14209.00","6","55"
"345","3","1651","7","1","12858.00","5","58"
"352","3","1013","7","1","12383.00","5","98"
"353","3","584","7","1","10555.00","5","85"
"357","3","2895","7","1","10854.00","4","77"
"357","3","5920","7","1","8102.00","6","81"
"368","3","1083","7","1","11540.00","5","63"
"408","3","983","7","1","9787.00","2","80"
"415","3","787","7","1","11002.00","4","48"
"421","3","89","7","1","7631.00","5","59"
"422","3","2905","7","1","10566.00","4","51"
"435","3","2126","7","1","11982.00","2","85"
"437","3","1251","7","1","12018.00","3","53"
"440","3","1993","7","1","11725.00","2","89"
"456","3","3302","7","1","10975.00","3","77"
"458","3","4267","7","1","6265.00","2","46"
"461","3","2373","7","1","8477.00","3","61"
"469","3","2813","7","1","6596.00","5","48"
"476","3","5352","7","1","7441.00","2","78"
"483","3","4656","7","1","11524.00","5","45"
"492","3","3205","7","1","21307.00","5","111"
"496","3","693","7","1","19834.00","7","139"
"496","3","2763","7","1","17745.00","6","135"
"497","3","2032","7","1","18390.00","9","152"
"509","3","240","7","1","18688.00","5","154"
"512","3","2199","7","1","16435.00","6","94"
"516","3","3383","7","1","16243.00","8","159"
"517","3","4407","7","1","17538.00","6","109"
"519","3","2722","7","1","22619.00","9","126"
"523","3","2839","7","1","18214.00","9","145"
"534","3","2894","7","1","18371.00","8","124"
"534","3","5308","7","1","21130.00","7","146"
"539","3","2956","7","1","20803.00","7","139"
"552","3","283","7","1","19157.00","7","113"
"552","3","2396","7","1","16364.00","5","108"
"553","3","3724","7","1","15113.00","8","109"
"560","3","1101","7","1","15288.00","7","145"
"576","3","2674","7","1","11924.00","3","88"
"580","3","1505","7","1","14471.00","4","70"
"593","3","3277","7","1","9800.00","4","117"
"594","3","5887","7","1","13495.00","5","114"
"598","3","3728","7","1","16473.00","5","102"
"599","3","1202","7","1","10790.00","5","90"
"599","3","1483","7","1","10515.00","4","72"
"612","3","1411","7","1","12016.00","6","108"
"614","3","2489","7","1","15033.00","3","62"
"617","3","2216","7","1","13781.00","3","68"
"618","3","3811","7","1","13798.00","4","88"
"618","3","5965","7","1","10341.00","3","67"
"637","3","5135","7","1","16516.00","3","85"
"640","3","3050","7","1","11042.00","5","73"
"642","3","3808","7","1","16127.00","3","85"
"655","3","1557","7","1","10935.00","6","52"
"656","3","4393","7","1","13440.00","5","77"
"657","3","157","7","1","14616.00","5","89"
"670","3","2749","7","1","10218.00","5","75"
"671","3","3321","7","1","14277.00","4","79"
"675","3","3660","7","1","13929.00","5","60"
"681","3","2726","7","1","10276.00","5","92"
"720","3","1986","7","1","13428.00","5","70"
"723","3","838","7","1","10658.00","5","92"
"726","3","5019","7","1","12923.00","6","72"
"730","3","3605","7","1","14656.00","6","62"
"733","3","1747","7","1","9465.00","3","76"
"736","3","5226","7","1","14038.00","5","70"
"739","3","1","7","1","9293.00","6","80"
"740","3","5489","7","1","9420.00","4","58"
"741","3","3891","7","1","6839.00","2","79"
"755","3","3378","7","1","8567.00","4","57"
"755","3","4963","7","1","11376.00","3","88"
"773","3","5826","7","1","8956.00","4","70"
"786","3","4205","7","1","10591.00","2","51"
"787","3","1361","7","1","8527.00","2","67"
"787","3","4335","7","1","6702.00","2","57"
"787","3","4998","7","1","7392.00","3","77"
"790","3","774","7","1","12648.00","5","55"
"796","3","2562","7","1","9170.00","5","73"
"800","3","4959","7","1","6159.00","3","57"
"801","3","2546","7","1","9701.00","2","72"
"808","3","2000","7","1","10547.00","4","64"
"808","3","4576","7","1","10726.00","4","84"
"809","3","4689","7","1","8020.00","4","56"
"811","3","5445","7","1","6990.00","3","86"
"812","3","3085","7","1","6270.00","3","64"
"815","3","1452","7","1","9067.00","3","78"
"831","3","4513","7","1","15537.00","6","135"
"835","3","3027","7","1","21733.00","6","106"
"837","3","1095","7","1","18377.00","5","95"
"839","3","1578","7","1","16756.00","8","103"
"846","3","1775","7","1","19333.00","8","128"
"848","3","1042","7","1","19582.00","9","108"
"852","3","3870","7","1","18883.00","7","153"
"864","3","4738","7","1","21522.00","5","158"
"871","3","2231","7","1","17887.00","9","133"
"877","3","3940","7","1","15296.00","5","90"
"878","3","3485","7","1","22497.00","9","141"
"881","3","476","7","1","19874.00","5","160"
"889","3","2548","7","1","20087.00","5","110"
"898","3","1276","7","1","17220.00","8","137"
"900","3","1492","7","1","20105.00","9","102"
"908","3","449","7","1","15169.00","9","146"
"911","3","2435","7","1","20574.00","8","139"
"912","3","1588","7","1","15136.00","7","147"
"916","3","1431","7","1","15124.00","7","126"
"924","3","346","7","1","14964.00","3","90"
"933","3","2902","7","1","12963.00","4","78"
"935","3","728","7","1","11054.00","3","68"
"942","3","1005","7","1","11036.00","5","86"
"942","3","2015","7","1","12586.00","3","76"
"962","3","1378","7","1","11935.00","4","73"
"966","3","2279","7","1","13320.00","3","118"
"966","3","5356","7","1","13818.00","5","88"
"986","3","3755","7","1","14798.00","5","110"
"991","3","3070","7","1","10895.00","3","83"
"991","3","5215","7","1","17163.00","6","105"
"1000","3","3057","7","1","11817.00","4","73"
"1000","3","3547","7","1","11278.00","6","83"
"1003","3","1722","7","1","15393.00","6","116"
"1004","3","211","7","1","14307.00","6","89"
"1004","3","731","7","1","13230.00","4","114"
"1005","3","338","7","1","14103.00","4","74"
"1005","3","3150","7","1","10749.00","4","67"
"1005","3","5542","7","1","9543.00","5","56"
"1005","3","5842","7","1","10114.00","5","53"
"1009","3","1418","7","1","13329.00","6","52"
"1019","3","150","7","1","14139.00","3","78"
"1022","3","381","7","1","12246.00","3","60"
"1023","3","1688","7","1","8970.00","5","85"
"1025","3","5468","7","1","11183.00","5","98"
"1029","3","5779","7","1","14021.00","3","79"
"1030","3","979","7","1","14193.00","3","50"
"1030","3","4260","7","1","10865.00","4","92"
"24","4","2522","7","1","13415.00","5","98"
"33","4","1216","7","1","10024.00","6","51"
"37","4","624","7","1","8244.00","4","58"
"39","4","2823","7","1","8399.00","5","63"
"40","4","1306","7","1","13597.00","4","80"
"47","4","5816","7","1","10360.00","5","94"
"49","4","2407","7","1","14404.00","5","53"
"51","4","3907","7","1","13502.00","3","64"
"54","4","1562","7","1","12445.00","5","77"
"58","4","1052","7","1","9918.00","5","93"
"62","4","682","7","1","13694.00","4","71"
"63","4","4814","7","1","9573.00","3","87"
"71","4","37","7","1","11286.00","4","70"
"79","4","1313","7","1","6360.00","2","83"
"82","4","879","7","1","10194.00","5","85"
"92","4","2983","7","1","7249.00","4","88"
"96","4","5528","7","1","12547.00","5","79"
"98","4","2655","7","1","11955.00","3","80"
"101","4","4966","7","1","7572.00","3","84"
"106","4","2836","7","1","11701.00","2","61"
"113","4","347","7","1","7243.00","4","65"
"119","4","5836","7","1","6853.00","5","55"
"120","4","2512","7","1","6024.00","5","74"
"124","4","1763","7","1","9668.00","5","74"
"124","4","4282","7","1","12525.00","4","49"
"125","4","3024","7","1","11583.00","3","76"
"129","4","46","7","1","10632.00","3","55"
"137","4","2558","7","1","9688.00","3","48"
"139","4","5174","7","1","5842.00","4","59"
"141","4","2701","7","1","8251.00","5","80"
"158","4","2686","7","1","20177.00","9","109"
"160","4","4235","7","1","15853.00","6","125"
"164","4","5567","7","1","20896.00","7","148"
"167","4","4138","7","1","22717.00","8","116"
"174","4","1592","7","1","16676.00","8","156"
"180","4","753","7","1","17578.00","9","132"
"181","4","5458","7","1","16547.00","5","126"
"189","4","2289","7","1","15099.00","8","130"
"192","4","927","7","1","18795.00","7","143"
"199","4","889","7","1","17232.00","7","122"
"199","4","2556","7","1","15069.00","9","93"
"224","4","5845","7","1","14655.00","9","128"
"227","4","1956","7","1","14606.00","9","160"
"229","4","2681","7","1","19248.00","7","110"
"239","4","4818","7","1","13582.00","6","79"
"240","4","2001","7","1","15265.00","3","71"
"255","4","1339","7","1","16518.00","3","108"
"259","4","1982","7","1","15196.00","3","119"
"278","4","3207","7","1","9294.00","3","77"
"281","4","379","7","1","12273.00","5","78"
"281","4","417","7","1","11579.00","4","106"
"282","4","3709","7","1","11843.00","6","119"
"284","4","5751","7","1","14933.00","3","110"
"289","4","6014","7","1","15330.00","5","67"
"297","4","4684","7","1","16955.00","4","71"
"297","4","4902","7","1","16522.00","3","104"
"306","4","5196","7","1","11173.00","5","72"
"312","4","2055","7","1","15352.00","3","85"
"315","4","4103","7","1","11416.00","6","83"
"317","4","3132","7","1","11601.00","6","90"
"331","4","5507","7","1","12298.00","3","89"
"350","4","1392","7","1","10410.00","6","86"
